   14.000000000000000      (-2.36085078622055647E-002, 1.85999617519945612E-003)
   16.500000000000000      ( 6.13322260196005470E-002, 4.66061693881855282E-002)
   19.000000000000000      ( 5.87081341548563451E-002, 3.64695041412115978E-002)
   21.500000000000000      ( 8.42050836992551746E-003, 2.68180243315766058E-002)
   24.000000000000000      (-4.24055279392714160E-002, 1.30976327455557470E-002)
   26.500000000000000      (-6.99453591579400902E-002,-4.07204094821761314E-002)
   29.000000000000000      (-3.47547175976960082E-002,-2.17777128253566453E-002)
   31.500000000000000      ( 2.85127804935062339E-002, 5.93149250083348373E-002)
   34.000000000000000      ( 2.75875676596093328E-002, 5.75251295927348971E-002)
   36.500000000000000      (-2.77965506853845301E-002, 1.11718630519001758E-002)
   39.000000000000000      (-4.19421817150641280E-002,-2.29579234051941125E-002)
   41.500000000000000      (-3.87340985816304953E-002,-4.92837084700330080E-002)
   44.000000000000000      (-2.27601529624589863E-002,-4.95284104441485046E-002)
   46.500000000000000      ( 1.32198513934757601E-002, 2.11633133622784464E-002)
   49.000000000000000      (-2.00589895944854810E-002, 5.13125684401076199E-002)
   51.500000000000000      (-2.44047570596947205E-002,-2.41700375569408842E-002)
   54.000000000000000      ( 2.80492259962341131E-003,-7.32844078205698579E-002)
   56.500000000000000      ( 2.90028619188217804E-002,-4.79473225403881098E-002)
   59.000000000000000      ( 4.03134936864862764E-002,-2.31336500799813882E-002)
   61.500000000000000      ( 2.06819807728698193E-002, 2.50494338689287929E-002)
   64.000000000000000      ( 4.54147661818763218E-003, 2.56047511342308888E-002)
   66.500000000000000      ( 4.71211969471170902E-004,-1.44685023995093469E-002)
   69.000000000000000      ( 5.44577957357867681E-002,-1.38034500516753186E-002)
   71.500000000000000      ( 5.81050280986963041E-002, 4.01068726402822665E-002)
   74.000000000000000      ( 5.00248858611886116E-003, 6.78267407134978684E-002)
   76.500000000000000      (-4.56196525732618305E-002, 3.74675615925959479E-002)
   79.000000000000000      (-3.15163877079333299E-002, 1.29771181834230989E-002)
   81.500000000000000      (-1.95150019652123299E-003,-1.16322591181334881E-002)
   84.000000000000000      (-2.41554527316727545E-002, 9.01839020297947810E-003)
   86.500000000000000      (-4.91837592420272113E-002, 2.74550904957893832E-002)
   89.000000000000000      (-5.39539565825482709E-002,-3.95974421389364006E-002)
   91.500000000000000      (-2.36875659024622827E-002,-6.49816004759136562E-002)
   94.000000000000000      ( 3.36228522923168252E-002,-4.01367257581454265E-002)
   96.500000000000000      ( 6.85918812870413563E-002,-7.90555854197975277E-003)
   99.000000000000000      ( 3.00609509519488144E-002,-1.35474362476171346E-002)
   101.50000000000000      ( 7.70017860299514276E-003,-3.08120628853799268E-002)
   104.00000000000000      ( 3.66386790747143254E-002, 2.61241285474676441E-003)
   106.50000000000000      ( 9.63953435228506045E-003, 5.34203434125576013E-002)
   109.00000000000000      (-2.75861409033216071E-002, 8.08884602593799296E-002)
   111.50000000000000      (-3.79823685998393890E-002, 8.08721929342628987E-002)
   114.00000000000000      (-3.60290119241655840E-002, 5.28190134675655086E-003)
   116.50000000000000      ( 7.80419691730549481E-003,-4.94494502484275553E-002)
   119.00000000000000      ( 7.55626911492214906E-003,-4.38492151581569706E-002)
   121.50000000000000      (-3.46797716587842336E-002,-6.29407811429959219E-002)
   124.00000000000000      (-1.21165077130250334E-002,-7.81383397793559142E-002)
   126.50000000000000      ( 3.82693590257021238E-002,-1.26148921603880804E-002)
   129.00000000000000      ( 5.24149512482340318E-002, 7.18527685171937713E-002)
   131.50000000000000      ( 3.83278786599926605E-002, 7.53519233776729358E-002)
   134.00000000000000      ( 2.39765971135091349E-002, 6.41401903164144638E-002)
   136.50000000000000      ( 9.11735176880766086E-003, 1.51506905800087360E-003)
   139.00000000000000      (-3.92122469837326432E-002,-5.24325144269051496E-002)
   141.50000000000000      (-8.80442440830724316E-002,-3.40540738938450716E-002)
   144.00000000000000      (-9.10141980883371615E-002,-4.93064342826622717E-002)
   146.50000000000000      ( 5.35700874281649832E-003,-2.62334368984955754E-002)
   149.00000000000000      ( 7.94750550420074281E-002, 3.27124396813214882E-002)
   151.50000000000000      ( 8.85351427271185432E-002, 4.63198297455713962E-002)
   154.00000000000000      ( 6.85470969287449439E-002, 2.07404046560094243E-002)
   156.50000000000000      (-6.23295977282882843E-003, 4.73289948063070412E-003)
   159.00000000000000      (-6.79483412375935514E-002,-1.18258540574267892E-002)
   161.50000000000000      (-0.10123086072507875     , 1.74010077543795133E-003)
   164.00000000000000      (-8.20754482859938628E-002,-7.87747727512517343E-004)
   166.50000000000000      ( 2.40670080094391101E-002,-2.58315997919718252E-002)
   169.00000000000000      ( 0.10534169410685157     ,-4.98953104159874372E-003)
   171.50000000000000      ( 0.10976676179098416     , 1.51751208798300910E-002)
   174.00000000000000      ( 2.33767644798637854E-002,-1.64700126282757865E-003)
   176.50000000000000      (-1.75488697092376147E-002,-4.76519554614893062E-003)
   179.00000000000000      (-9.04092677500016595E-002, 2.99893819722536759E-003)
